ID,Data Cadastro,Data,Fluxo,Frequência,Valor,Instituição Financeira,Provedor,Descrição,Parcelamento
0,2021-06-13,2021-05-28,Entrada,Singular,670.29,Clear,Trabalho,Saldo inicial da Clear,
1,2021-06-13,2021-06-01,Entrada,Singular,26.9,Nubank,Outros,Repasse da Mor,
2,2021-06-13,2021-06-01,Entrada,Singular,525.0,Nubank,Outros,Primeiro vale da Nelo,
3,2021-06-13,2021-06-01,Transferência,Singular,-551.9,Nubank,,Saída Nubank para Clear,
3,2021-06-13,2021-06-01,Transferência,Singular,551.9,Clear,,Entrada Clear de Nubank,
4,2021-06-13,2021-06-01,Transferência,Singular,-933.18,Clear,,Saída Clear para Toro,
4,2021-06-13,2021-06-01,Transferência,Singular,933.18,Toro,,Entrada Toro de Clear,
5,2021-06-13,2021-06-01,Entrada,Singular,42.23,Nubank,Trabalho,"Resíduo da Prolec, 1d",
6,2021-06-13,2021-06-01,Entrada,Singular,33.85,Nubank,Outros,Primeiro saque Enjoei,
7,2021-06-13,2021-07-06,Saída,Múltipla Temporária,-164.89999999999995,Nubank,Outros,"Armário da mor, empréstimo de crédito(PARCELA 1)",1/9
7,2021-06-13,2021-08-06,Saída,Múltipla Temporária,-164.89999999999995,Nubank,Outros,"Armário da mor, empréstimo de crédito(PARCELA 2)",2/9
7,2021-06-13,2021-09-06,Saída,Múltipla Temporária,-164.89999999999995,Nubank,Outros,"Armário da mor, empréstimo de crédito(PARCELA 3)",3/9
7,2021-06-13,2021-10-06,Saída,Múltipla Temporária,-164.89999999999995,Nubank,Outros,"Armário da mor, empréstimo de crédito(PARCELA 4)",4/9
7,2021-06-13,2021-11-06,Saída,Múltipla Temporária,-164.89999999999995,Nubank,Outros,"Armário da mor, empréstimo de crédito(PARCELA 5)",5/9
7,2021-06-13,2021-12-06,Saída,Múltipla Temporária,-164.89999999999995,Nubank,Outros,"Armário da mor, empréstimo de crédito(PARCELA 6)",6/9
7,2021-06-13,2022-01-06,Saída,Múltipla Temporária,-164.89999999999995,Nubank,Outros,"Armário da mor, empréstimo de crédito(PARCELA 7)",7/9
7,2021-06-13,2022-02-06,Saída,Múltipla Temporária,-164.89999999999995,Nubank,Outros,"Armário da mor, empréstimo de crédito(PARCELA 8)",8/9
7,2021-06-13,2022-03-06,Saída,Múltipla Temporária,-164.89999999999995,Nubank,Outros,"Armário da mor, empréstimo de crédito(PARCELA 9)",9/9
8,2021-06-13,2021-07-06,Entrada,Múltipla Temporária,164.89999999999995,Nubank,Outros,"Armário da mor, empréstimo de crédito(PARCELA 1)",1/9
8,2021-06-13,2021-08-06,Entrada,Múltipla Temporária,164.89999999999995,Nubank,Outros,"Armário da mor, empréstimo de crédito(PARCELA 2)",2/9
8,2021-06-13,2021-09-06,Entrada,Múltipla Temporária,164.89999999999995,Nubank,Outros,"Armário da mor, empréstimo de crédito(PARCELA 3)",3/9
8,2021-06-13,2021-10-06,Entrada,Múltipla Temporária,164.89999999999995,Nubank,Outros,"Armário da mor, empréstimo de crédito(PARCELA 4)",4/9
8,2021-06-13,2021-11-06,Entrada,Múltipla Temporária,164.89999999999995,Nubank,Outros,"Armário da mor, empréstimo de crédito(PARCELA 5)",5/9
8,2021-06-13,2021-12-06,Entrada,Múltipla Temporária,164.89999999999995,Nubank,Outros,"Armário da mor, empréstimo de crédito(PARCELA 6)",6/9
8,2021-06-13,2022-01-06,Entrada,Múltipla Temporária,164.89999999999995,Nubank,Outros,"Armário da mor, empréstimo de crédito(PARCELA 7)",7/9
8,2021-06-13,2022-02-06,Entrada,Múltipla Temporária,164.89999999999995,Nubank,Outros,"Armário da mor, empréstimo de crédito(PARCELA 8)",8/9
8,2021-06-13,2022-03-06,Entrada,Múltipla Temporária,164.89999999999995,Nubank,Outros,"Armário da mor, empréstimo de crédito(PARCELA 9)",9/9
9,2021-06-13,2021-07-06,Saída,Múltipla Temporária,-10.75,Nubank,Presentes,Bowls da mãe(PARCELA 1),1/11
9,2021-06-13,2021-08-06,Saída,Múltipla Temporária,-10.75,Nubank,Presentes,Bowls da mãe(PARCELA 2),2/11
9,2021-06-13,2021-09-06,Saída,Múltipla Temporária,-10.75,Nubank,Presentes,Bowls da mãe(PARCELA 3),3/11
9,2021-06-13,2021-10-06,Saída,Múltipla Temporária,-10.75,Nubank,Presentes,Bowls da mãe(PARCELA 4),4/11
9,2021-06-13,2021-11-06,Saída,Múltipla Temporária,-10.75,Nubank,Presentes,Bowls da mãe(PARCELA 5),5/11
9,2021-06-13,2021-12-06,Saída,Múltipla Temporária,-10.75,Nubank,Presentes,Bowls da mãe(PARCELA 6),6/11
9,2021-06-13,2022-01-06,Saída,Múltipla Temporária,-10.75,Nubank,Presentes,Bowls da mãe(PARCELA 7),7/11
9,2021-06-13,2022-02-06,Saída,Múltipla Temporária,-10.75,Nubank,Presentes,Bowls da mãe(PARCELA 8),8/11
9,2021-06-13,2022-03-06,Saída,Múltipla Temporária,-10.75,Nubank,Presentes,Bowls da mãe(PARCELA 9),9/11
9,2021-06-13,2022-04-06,Saída,Múltipla Temporária,-10.75,Nubank,Presentes,Bowls da mãe(PARCELA 10),10/11
9,2021-06-13,2022-05-06,Saída,Múltipla Temporária,-10.75,Nubank,Presentes,Bowls da mãe(PARCELA 11),11/11
10,2021-06-13,2021-07-06,Saída,Múltipla Temporária,-26.9,Nubank,Outros,"Repasse da mor, iPhone(PARCELA 1)",1/6
10,2021-06-13,2021-08-06,Saída,Múltipla Temporária,-26.9,Nubank,Outros,"Repasse da mor, iPhone(PARCELA 2)",2/6
10,2021-06-13,2021-09-06,Saída,Múltipla Temporária,-26.9,Nubank,Outros,"Repasse da mor, iPhone(PARCELA 3)",3/6
10,2021-06-13,2021-10-06,Saída,Múltipla Temporária,-26.9,Nubank,Outros,"Repasse da mor, iPhone(PARCELA 4)",4/6
10,2021-06-13,2021-11-06,Saída,Múltipla Temporária,-26.9,Nubank,Outros,"Repasse da mor, iPhone(PARCELA 5)",5/6
10,2021-06-13,2021-12-06,Saída,Múltipla Temporária,-26.9,Nubank,Outros,"Repasse da mor, iPhone(PARCELA 6)",6/6
11,2021-06-13,2021-07-06,Entrada,Múltipla Temporária,26.9,Nubank,Outros,"Repasse da mor, iPhone(PARCELA 1)",1/6
11,2021-06-13,2021-08-06,Entrada,Múltipla Temporária,26.9,Nubank,Outros,"Repasse da mor, iPhone(PARCELA 2)",2/6
11,2021-06-13,2021-09-06,Entrada,Múltipla Temporária,26.9,Nubank,Outros,"Repasse da mor, iPhone(PARCELA 3)",3/6
11,2021-06-13,2021-10-06,Entrada,Múltipla Temporária,26.9,Nubank,Outros,"Repasse da mor, iPhone(PARCELA 4)",4/6
11,2021-06-13,2021-11-06,Entrada,Múltipla Temporária,26.9,Nubank,Outros,"Repasse da mor, iPhone(PARCELA 5)",5/6
11,2021-06-13,2021-12-06,Entrada,Múltipla Temporária,26.9,Nubank,Outros,"Repasse da mor, iPhone(PARCELA 6)",6/6
12,2021-06-13,2021-07-06,Saída,Singular,-45.0,Nubank,Alimentação,Prime sushi,
13,2021-06-13,2021-07-06,Saída,Singular,-47.98,Nubank,Lazer,Frete das fotos,
14,2021-06-13,2021-07-06,Saída,Singular,-62.5,Nubank,Alimentação,Café no alban,
15,2021-06-13,2021-07-06,Saída,Singular,-27.0,Nubank,Alimentação,"Café no alban, dia dos namorados",
16,2021-06-13,2021-07-06,Saída,Singular,-70.8,Nubank,Alimentação,Almoço na Fragata,
17,2021-06-13,2021-07-06,Saída,Múltipla Temporária,-63.3,Nubank,Lazer,Impressão das fotos(PARCELA 1),1/3
17,2021-06-13,2021-08-06,Saída,Múltipla Temporária,-63.3,Nubank,Lazer,Impressão das fotos(PARCELA 2),2/3
17,2021-06-13,2021-09-06,Saída,Múltipla Temporária,-63.3,Nubank,Lazer,Impressão das fotos(PARCELA 3),3/3
18,2021-06-13,2021-07-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2021-08-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2021-09-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
18,2021-06-13,2021-10-05,Entrada,Múltipla Permanente,2200.0,Nubank,Trabalho,"Salário líquido da Nelo, PROVISÓRIO",
